"","date","time","volume","tradingphase"
"1","2020-03-30","",466939,"OPENING AUCTION"
"2","2020-03-30","07:00:00",199240,"CONTINUOUS"
"3","2020-03-30","07:05:00",399928,"CONTINUOUS"
"4","2020-03-30","07:10:00",355929,"CONTINUOUS"
"5","2020-03-30","07:15:00",290592,"CONTINUOUS"
"6","2020-03-30","07:20:00",360978,"CONTINUOUS"
"7","2020-03-30","07:25:00",368458,"CONTINUOUS"
"8","2020-03-30","07:30:00",287498,"CONTINUOUS"
"9","2020-03-30","07:35:00",200963,"CONTINUOUS"
"10","2020-03-30","07:40:00",231174,"CONTINUOUS"
"11","2020-03-30","07:45:00",229311,"CONTINUOUS"
"12","2020-03-30","07:50:00",383672,"CONTINUOUS"
"13","2020-03-30","07:55:00",221948,"CONTINUOUS"
"14","2020-03-30","08:00:00",465997,"CONTINUOUS"
"15","2020-03-30","08:05:00",240400,"CONTINUOUS"
"16","2020-03-30","08:10:00",235584,"CONTINUOUS"
"17","2020-03-30","08:15:00",230347,"CONTINUOUS"
"18","2020-03-30","08:20:00",211637,"CONTINUOUS"
"19","2020-03-30","08:25:00",129746,"CONTINUOUS"
"20","2020-03-30","08:30:00",333229,"CONTINUOUS"
"21","2020-03-30","08:35:00",335526,"CONTINUOUS"
"22","2020-03-30","08:40:00",457954,"CONTINUOUS"
"23","2020-03-30","08:45:00",474261,"CONTINUOUS"
"24","2020-03-30","08:50:00",268641,"CONTINUOUS"
"25","2020-03-30","08:55:00",161949,"CONTINUOUS"
"26","2020-03-30","09:00:00",508576,"CONTINUOUS"
"27","2020-03-30","09:05:00",417504,"CONTINUOUS"
"28","2020-03-30","09:10:00",224699,"CONTINUOUS"
"29","2020-03-30","09:15:00",119880,"CONTINUOUS"
"30","2020-03-30","09:20:00",254436,"CONTINUOUS"
"31","2020-03-30","09:25:00",266656,"CONTINUOUS"
"32","2020-03-30","09:30:00",285982,"CONTINUOUS"
"33","2020-03-30","09:35:00",223655,"CONTINUOUS"
"34","2020-03-30","09:40:00",423804,"CONTINUOUS"
"35","2020-03-30","09:45:00",229091,"CONTINUOUS"
"36","2020-03-30","09:50:00",235902,"CONTINUOUS"
